Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
Comparison/1000/insert/hashtables basic,2.6265910693374302e-5,2.6158068920271846e-5,2.6427436233658147e-5,4.4718925810469537e-7,3.5301244242040614e-7,5.839216244488787e-7
Comparison/1000/insert/vector-hashtables boxed,1.9575860810916178e-5,1.926647603637609e-5,1.9740314304255806e-5,7.454474339428102e-7,3.7466220434043524e-7,1.3834671459430294e-6
Comparison/1000/insert/vector-hashtables unboxed keys,8.826795648317215e-6,8.770576966261804e-6,8.909366150634212e-6,2.352375433804522e-7,1.7612220351373926e-7,2.9829914583274947e-7
Comparison/1000/insert/vector-hashtables,2.0635037453555934e-5,2.0455663823614313e-5,2.0896553906998486e-5,7.007840744644399e-7,4.829873456743934e-7,9.81032007812722e-7
Comparison/1000/insert/mutable vector boxed,2.265952794028665e-6,2.2173455978514867e-6,2.3394235727800144e-6,1.9261798702538282e-7,1.4523974686472908e-7,2.530309839697052e-7
Comparison/1000/insert/mutable vector,5.264331655956335e-7,5.148325770818036e-7,5.559707205963797e-7,5.9344513371319815e-8,3.0827396782838076e-8,1.1270431216154575e-7
Comparison/1000/insert (resize)/hashtables basic,8.932069244749132e-5,8.820194955781247e-5,9.090470499293483e-5,4.53752940067964e-6,3.351205191408819e-6,6.2370752647305626e-6
Comparison/1000/insert (resize)/vector-hashtables boxed,1.3910402498670035e-5,1.3765434273402642e-5,1.410125571936111e-5,5.396371484589965e-7,4.250089153567818e-7,6.78481772326404e-7
Comparison/1000/insert (resize)/vector-hashtables unboxed keys,1.331534990508627e-5,1.313324421262183e-5,1.3595816607217832e-5,7.93574111586542e-7,5.556664887184433e-7,1.2135931662721414e-6
Comparison/1000/insert (resize)/vector-hashtables,1.0987076453458678e-5,1.0850785328155451e-5,1.1167765740536372e-5,5.083339185362349e-7,4.068757695525665e-7,6.746492999009997e-7
"Comparison/1000/insert, delete/hashtables basic",4.730121532164581e-5,4.695991571261143e-5,4.765133575003976e-5,1.159392848129342e-6,9.728949797939497e-7,1.4321771026439375e-6
"Comparison/1000/insert, delete/vector-hashtables",1.1570315465434165e-5,1.1529724449670008e-5,1.1636304446970008e-5,1.694508489487887e-7,1.1277090925892206e-7,2.5628073275205104e-7
Comparison/1000/find/hashtables basic,9.074698461211113e-6,9.0533309081796e-6,9.101500897738992e-6,8.432899268159116e-8,6.986485174266875e-8,9.95647961317774e-8
Comparison/1000/find/vector-hashtables,2.8342599424532434e-6,2.8267377366559826e-6,2.8440302666553868e-6,2.888558635314647e-8,2.1847423687085995e-8,4.303598561664496e-8
Comparison/1000/find/vector-hashtables (frozen),1.5429894619247125e-6,1.5397052640675597e-6,1.5463156490790096e-6,1.128836030862139e-8,9.454797086149399e-9,1.3530492198185908e-8
Comparison/1000/lookupIndex/hashtables basic,9.594605385648414e-6,9.564608909103947e-6,9.628334987248091e-6,1.016795750640212e-7,8.38679450409373e-8,1.2723801288875722e-7
